airline,flight,source_city,departure_time,stops,arrival_time,destination_city,duration,days_left,price
0,873,2,2,2,2,5,120.0,1,25612
0,791,2,2,2,5,5,135.0,1,25612
0,758,2,2,1,5,5,1485.0,1,42220
0,867,2,5,1,5,5,1590.0,1,44450
0,766,2,2,1,5,5,400.0,1,46690
5,1554,2,2,2,5,5,130.0,1,50264
0,734,2,5,1,0,5,1065.0,1,50669
0,732,2,2,1,2,5,1365.0,1,51059
5,1516,2,5,1,0,5,1075.0,1,51731
5,1552,2,2,2,5,5,135.0,1,53288
0,746,2,5,1,4,5,660.0,1,56081
0,861,2,2,1,4,5,915.0,1,56081
0,762,2,5,1,4,5,685.0,1,57074
0,759,2,2,1,4,5,950.0,1,57074
0,762,2,5,1,2,5,1295.0,1,57074
0,759,2,2,1,2,5,1560.0,1,57074
5,1472,2,2,1,5,5,345.0,1,57868
5,1472,2,2,1,4,5,970.0,1,57868
5,1472,2,2,1,5,5,1690.0,1,57868
5,1472,2,2,1,4,5,1160.0,1,59996
0,839,2,5,1,5,5,1430.0,1,61273
0,841,2,2,1,5,5,1630.0,1,61273
5,1443,2,2,1,5,5,360.0,1,63737
5,1443,2,2,1,0,5,1170.0,1,63737
5,1443,2,2,1,5,5,1610.0,1,63737
5,1464,2,2,1,4,5,745.0,1,74640
5,1468,2,2,1,4,5,880.0,1,74640
5,1464,2,2,1,5,5,1465.0,1,74640
5,1464,2,2,1,5,5,1560.0,1,74640
5,1468,2,2,1,5,5,1600.0,1,74640
5,1468,2,2,1,5,5,1695.0,1,74640
5,1464,2,2,1,4,5,935.0,1,76768
5,1468,2,2,1,4,5,1070.0,1,76768
5,1491,2,2,1,4,5,1095.0,1,78376
5,1544,2,5,2,5,5,130.0,2,25736
0,873,2,2,2,2,5,120.0,2,25612
0,878,2,1,2,4,5,125.0,2,25612
0,812,2,1,2,4,5,130.0,2,25612
0,859,2,2,2,5,5,130.0,2,25612
0,820,2,4,2,4,5,135.0,2,25612
0,791,2,2,2,5,5,135.0,2,25612
0,798,2,0,1,2,5,210.0,2,25612
0,723,2,2,1,5,5,225.0,2,25612
0,719,2,1,1,5,5,1050.0,2,36496
0,758,2,2,1,5,5,1485.0,2,37286
5,1440,2,0,1,0,5,1535.0,2,37682
0,706,2,0,1,2,5,380.0,2,37617
5,1552,2,2,2,5,5,135.0,2,40296
5,1549,2,4,2,4,5,140.0,2,40296
5,1546,2,2,2,5,5,140.0,2,40296
0,710,2,1,1,0,5,480.0,2,40582
0,864,2,2,1,0,5,1235.0,2,40582
0,726,2,1,1,0,5,605.0,2,42252
5,1431,2,2,1,5,5,265.0,2,43964
5,1533,2,4,2,4,5,125.0,2,44328
0,736,2,2,1,2,5,1435.0,2,44060
0,766,2,2,1,5,5,400.0,2,44450
0,764,2,4,1,5,5,850.0,2,44450
0,772,2,4,1,5,5,945.0,2,44450
0,867,2,5,1,5,5,1590.0,2,44450
5,1554,2,2,2,5,5,130.0,2,45896
0,707,2,4,1,0,5,290.0,2,46265
5,1484,2,1,1,0,5,420.0,2,47396
5,1516,2,5,1,0,5,1075.0,2,47396
5,1523,2,2,1,0,5,1250.0,2,47396
5,1530,2,0,1,0,5,1425.0,2,47396
5,1516,2,5,1,5,5,1585.0,2,47396
5,1430,2,0,1,0,5,1600.0,2,48281
5,1541,2,4,2,0,5,140.0,2,49256
0,725,2,0,1,2,5,1535.0,2,50822
0,877,2,4,1,3,5,795.0,2,50992
0,877,2,4,1,4,5,1285.0,2,50992
0,874,2,4,1,2,5,385.0,2,51059
0,732,2,2,1,2,5,1365.0,2,51059
5,1559,2,4,2,0,5,135.0,2,51496
5,1439,2,0,1,2,5,300.0,2,51641
0,715,2,4,1,0,5,1805.0,2,53582
5,1523,2,2,1,5,5,320.0,2,56345
5,1530,2,0,1,5,5,495.0,2,56345
5,1507,2,4,1,5,5,755.0,2,56345
5,1484,2,1,1,5,5,930.0,2,56345
0,746,2,5,1,5,5,1410.0,2,56081
0,861,2,2,1,5,5,1665.0,2,56081
0,715,2,4,1,2,5,505.0,2,57074
0,762,2,5,1,4,5,685.0,2,57074
0,721,2,1,1,2,5,730.0,2,57074
0,759,2,2,1,4,5,950.0,2,57074
0,762,2,5,1,2,5,1225.0,2,57074
0,759,2,2,1,2,5,1490.0,2,57074
5,1493,2,0,1,5,5,545.0,2,57801
5,1487,2,1,1,5,5,925.0,2,57801
5,1472,2,2,1,5,5,345.0,2,57868
5,1474,2,0,1,5,5,360.0,2,57868
5,1474,2,0,1,5,5,455.0,2,57868
5,1460,2,4,1,5,5,670.0,2,57868
5,1470,2,4,1,5,5,730.0,2,57868
5,1464,2,2,1,4,5,745.0,2,57868
5,1460,2,4,1,5,5,765.0,2,57868
5,1470,2,4,1,5,5,825.0,2,57868
5,1468,2,2,1,4,5,880.0,2,57868
5,1472,2,2,1,4,5,970.0,2,57868
5,1474,2,0,1,4,5,1080.0,2,57868
5,1442,2,0,1,5,5,475.0,2,58524
5,1464,2,2,1,4,5,935.0,2,59996
5,1468,2,2,1,4,5,1070.0,2,59996
0,728,2,2,1,5,5,375.0,2,59976
0,752,2,0,1,5,5,535.0,2,59976
0,844,2,0,1,5,5,475.0,2,61273
0,704,2,1,1,5,5,795.0,2,61273
0,839,2,5,1,2,5,1295.0,2,61273
0,839,2,5,1,5,5,1430.0,2,61273
0,841,2,2,1,2,5,1495.0,2,61273
0,841,2,2,1,5,5,1630.0,2,61273
0,844,2,0,1,2,5,1780.0,2,61273
5,1489,2,2,1,4,5,945.0,2,61721
5,1491,2,2,1,4,5,1095.0,2,61721
5,1489,2,2,1,5,5,1600.0,2,61721
5,1448,2,0,1,0,5,1265.0,2,62057
5,1497,2,4,1,0,5,1655.0,2,67657
5,1448,2,0,1,5,5,1705.0,2,77737
5,1443,2,2,1,0,5,1170.0,2,79977
5,1543,2,0,2,2,5,130.0,3,25736
0,873,2,2,2,2,5,120.0,3,25612
0,878,2,1,2,4,5,125.0,3,25612
0,812,2,1,2,4,5,130.0,3,25612
0,859,2,2,2,5,5,130.0,3,25612
0,791,2,2,2,5,5,135.0,3,25612
0,798,2,0,1,2,5,210.0,3,25612
0,723,2,2,1,5,5,225.0,3,25612
5,1544,2,5,2,5,5,130.0,3,30104
0,820,2,4,2,4,5,135.0,3,30092
5,1533,2,4,2,4,5,125.0,3,32456
5,1541,2,4,2,0,5,140.0,3,32456
5,1440,2,0,1,0,5,1535.0,3,33197
0,733,2,0,1,0,5,1475.0,3,33136
0,758,2,2,1,5,5,1485.0,3,33926
0,864,2,2,1,0,5,1235.0,3,34982
0,717,2,0,1,0,5,1570.0,3,34982
0,734,2,5,1,0,5,990.0,3,36652
5,1559,2,4,2,0,5,135.0,3,38056
0,736,2,2,1,2,5,1435.0,3,39580
5,1552,2,2,2,5,5,135.0,3,40296
5,1549,2,4,2,4,5,140.0,3,40296
0,710,2,1,1,0,5,480.0,3,40582
0,867,2,5,1,5,5,1590.0,3,42770
5,1516,2,5,1,5,5,1585.0,3,43521
5,1546,2,2,2,5,5,140.0,3,44664
0,766,2,2,1,5,5,400.0,3,44450
0,764,2,4,1,5,5,850.0,3,44450
0,772,2,4,1,5,5,945.0,3,44450
5,1523,2,2,1,5,5,320.0,3,45145
5,1530,2,0,1,5,5,495.0,3,45145
5,1507,2,4,1,5,5,755.0,3,45145
5,1484,2,1,1,5,5,930.0,3,45145
0,725,2,0,1,2,5,1555.0,3,45222
0,732,2,2,1,2,5,1365.0,3,45459
5,1554,2,2,2,5,5,130.0,3,45896
0,707,2,4,1,0,5,290.0,3,46265
5,1484,2,1,1,0,5,420.0,3,47396
5,1516,2,5,1,0,5,1075.0,3,47396
5,1523,2,2,1,0,5,1250.0,3,47396
5,1530,2,0,1,0,5,1425.0,3,47396
5,1430,2,0,1,0,5,1600.0,3,49737
0,877,2,4,1,4,5,1285.0,3,49872
0,874,2,4,1,2,5,385.0,3,51059
5,1536,2,0,2,2,5,130.0,3,51496
0,715,2,4,1,0,5,1805.0,3,51342
5,1439,2,0,1,2,5,300.0,3,53881
0,861,2,2,1,4,5,915.0,3,54284
0,744,2,0,1,4,5,1145.0,3,54284
0,748,2,4,1,4,5,1370.0,3,54284
0,857,2,1,1,4,5,1585.0,3,54284
0,861,2,2,1,5,5,1665.0,3,54284
0,762,2,5,1,2,5,1225.0,3,54898
0,759,2,2,1,2,5,1490.0,3,54898
5,1489,2,2,1,4,5,945.0,3,55416
5,1491,2,2,1,4,5,1095.0,3,55416
5,1489,2,2,1,5,5,1600.0,3,55416
0,744,2,0,1,5,5,455.0,3,56081
0,748,2,4,1,5,5,680.0,3,56081
0,746,2,5,1,4,5,680.0,3,56081
0,857,2,1,1,5,5,895.0,3,56081
0,746,2,5,1,5,5,1430.0,3,56081
0,715,2,4,1,2,5,435.0,3,57074
0,721,2,1,1,2,5,660.0,3,57074
5,1504,2,2,1,0,5,1205.0,3,58865
5,1460,2,4,1,4,5,1390.0,3,59996
5,1470,2,4,1,4,5,1450.0,3,59996
0,728,2,2,1,5,5,375.0,3,59976
0,752,2,0,1,5,5,535.0,3,59976
0,844,2,0,1,5,5,475.0,3,61273
0,704,2,1,1,2,5,660.0,3,61273
0,704,2,1,1,5,5,795.0,3,61273
5,1487,2,1,1,5,5,925.0,3,61721
5,1460,2,4,1,5,5,765.0,3,66044
5,1470,2,4,1,5,5,825.0,3,66044
5,1443,2,2,1,0,5,1170.0,3,70793
5,1443,2,2,1,5,5,1610.0,3,70793
5,1443,2,2,1,5,5,1800.0,3,70793
5,1464,2,2,1,4,5,745.0,3,76768
5,1468,2,2,1,4,5,880.0,3,76768
5,1472,2,2,1,4,5,970.0,3,76768
5,1472,2,2,1,5,5,345.0,3,82816
5,1464,2,2,1,4,5,935.0,3,82816
5,1468,2,2,1,4,5,1070.0,3,82816
5,1464,2,2,1,5,5,1465.0,3,82816
5,1468,2,2,1,5,5,1600.0,3,82816
0,873,2,2,2,2,5,120.0,4,22152
